id,movie_id,title,overview,popularity,poster,video,release_date,language,vote_average,is_active,slug,viewed
25,1297467,"Untitled The Exorcist Film","A “radical new take” on the franchise, one that will be set in the Exorcist universe but will not be a sequel to The Exorcist: Believer.",1.616,https://image.tmdb.org/t/p/original//8T48M67JbP2Iqrlp97BQHkvHkCr.jpg,#,2026-03-13,en,0.0,1,untitled-the-exorcist-film,0
26,1165422,"Princezna zakletá v čase 3","",0.323,https://image.tmdb.org/t/p/original/None,#,2026-11-19,cs,0.0,1,princezna-zakleta-v-case-3,0
27,1228670,"THE REWIND","The Rewind is a time-travel action movie about a man, Russel, who wakes up one day to discover that he is in a world where time plays in reverse except for him. As he tries to figure out what happened, he realizes that someone has stolen a watch that messes up time and reality. He teams up with a group of people to try to find the person who stole the watch and fix time. Along the way, he discovers the past and has to come to terms with his life and relationships.",0.619,https://image.tmdb.org/t/p/original/None,#,2027-05-15,en,0.0,1,the-rewind,0
28,1327819,Hoppers,"Animal lover Mabel uses clever new technology designed to ""hop"" human consciousness into lifelike robotic animals to communicate with beavers, uncovering mysteries within the animal world beyond anything she could have imagined.",2.624,https://image.tmdb.org/t/p/original//lxwyMNV5SrmeSfCOJA12TGv1f6f.jpg,#,2026-03-06,en,0.0,1,hoppers,0
29,579849,"Илия Муромец","Iliya the Knight of Murom, the son of a peasant, was born disabled and could not walk until he turned 33. He then was miraculously healed and became a great warrior during his faithful service to Kniaz Vladimir Monomakh by fighting against invaders and helping Kniaz consolide Russianlands.",0.625,https://image.tmdb.org/t/p/original/None,#,2026-11-16,ru,0.0,1,iliia-muromets,0
30,1388869,Maar,"""MAAR"" is an upcoming Assamese Feature Film to be Written and Directed by Aasish Dutta under the banner ABEYANCY™. Produced by Anjumoni Saikia Dutta, Original Score by Fardin Irfan, Music by Riyan Saikia and D.O.P Mrinal Jyoti Bora. Film is on Pre-Production state.",0.601,https://image.tmdb.org/t/p/original//aWQ8dNAjwYBzDz5wr37oOsJzJJY.jpg,#,2027-05-09,as,0.0,1,maar,0
31,1117898,"The Cat in the Hat","The Cat takes on his toughest assignment yet… to cheer a pair of siblings struggling with their move to a new town.",2.856,https://image.tmdb.org/t/p/original//fEd4WTf0CY6XSz0R4deSH7gl0Ny.jpg,#,2026-03-05,en,0.0,1,the-cat-in-the-hat,0
32,656908,"Ramayana: Part One","First part of the epic Ramayana Duology.",3.29,https://image.tmdb.org/t/p/original//qSb13MDWY96bZRyHdSIwjuxaXTC.jpg,#,2026-11-06,hi,0.0,1,ramayana-part-one,0
33,1003598,"Avengers: Secret Wars","An upcoming film in Phase 6 of the Marvel Cinematic Universe (MCU) and the finale of The Multiverse Saga. Plot TBA.",28.971,https://image.tmdb.org/t/p/original//f0YBuh4hyiAheXhh4JnJWoKi9g5.jpg,#,2027-05-05,en,0.0,1,avengers-secret-wars,0
34,1390385,"Kajal Arefin Ome/Shakib Khan Project","Kajal Arefin Ome directorial debut film.",0.41,https://image.tmdb.org/t/p/original/None,#,2026-03-02,bn,0.0,1,kajal-arefin-ome-shakib-khan-project,0
